com.samsung.health.sleep
time_offset,end_time,pkg_name,start_time,custom,comment,datauuid,deviceuuid,update_time,create_time
7200000,2016-01-31 08:10:00.000,com.sec.android.app.shealth,2016-01-30 23:20:00.000,,,a6c66668-9c0d-417d-8465-83d016de7ab0,1jGJNdpU+S,2016-01-31 12:00:15.987,2016-01-31 12:00:15.987
10800000,2016-04-13 09:10:00.000,com.sec.android.app.shealth,2016-04-13 02:30:00.000,,,d4008156-8c50-417f-bed1-99ecaaebada7,1jGJNdpU+S,2016-04-13 12:25:44.736,2016-04-13 12:25:44.736
7200000,2016-03-18 07:30:00.000,com.sec.android.app.shealth,2016-03-17 23:40:00.000,,,8677e1c9-ca30-4873-9c6e-bf4b0e886699,1jGJNdpU+S,2016-03-18 12:14:15.463,2016-03-18 12:14:15.463
7200000,2016-01-13 07:40:00.000,com.sec.android.app.shealth,2016-01-12 22:10:00.000,,,386ae1fa-ebd2-4480-8284-c399112e53da,1jGJNdpU+S,2016-01-13 12:02:08.182,2016-01-13 12:02:08.182
7200000,2015-12-22 08:00:00.000,com.sec.android.app.shealth,2015-12-22 00:00:00.000,,,9b09d02f-ed1a-4d9f-a970-5645921c5f72,1jGJNdpU+S,2015-12-22 12:03:27.675,2015-12-22 12:03:27.675
7200000,2016-02-04 09:30:00.000,com.sec.android.app.shealth,2016-02-04 00:30:00.000,,,72a3c4d9-8b89-4f19-b0b1-a67243e0d1b2,1jGJNdpU+S,2016-02-04 09:42:40.104,2016-02-04 09:42:40.104
7200000,2016-02-13 09:10:00.000,com.sec.android.app.shealth,2016-02-13 02:00:00.000,,,750dfd81-70f3-4a8d-b823-8b665b7931fd,1jGJNdpU+S,2016-02-13 12:00:57.631,2016-02-13 12:00:57.631
7200000,2016-02-17 08:00:00.000,com.sec.android.app.shealth,2016-02-16 23:00:00.000,,,11e0619a-95bf-4d57-ba42-04f3cbc23c8a,1jGJNdpU+S,2016-02-17 13:25:49.865,2016-02-17 13:25:49.865
7200000,2015-12-19 07:40:00.000,com.sec.android.app.shealth,2015-12-19 00:10:00.000,,,f864b7fd-ea8e-42d3-b669-6026248cbbe0,1jGJNdpU+S,2015-12-19 12:02:02.377,2015-12-19 12:02:02.377
10800000,2016-06-23 09:30:00.000,com.sec.android.app.shealth,2016-06-23 02:40:00.000,,,81fdbfde-06f2-43fa-b134-e7151cd8a868,1jGJNdpU+S,2016-06-23 11:11:47.625,2016-06-23 11:11:47.625
10800000,2016-05-19 10:00:00.000,com.sec.android.app.shealth,2016-05-19 00:40:00.000,,,8c2f3b25-f0bf-4ac3-9a4a-518c2ef753df,1jGJNdpU+S,2016-05-19 11:00:27.704,2016-05-19 11:00:27.704
10800000,2016-05-01 07:20:00.000,com.sec.android.app.shealth,2016-04-30 20:50:00.000,,,6e2bb9ea-c5d3-4ea3-8c04-5b4975f12412,1jGJNdpU+S,2016-05-01 11:32:39.170,2016-05-01 11:32:39.170
7200000,2016-03-21 09:20:00.000,com.sec.android.app.shealth,2016-03-21 01:10:00.000,,,e4e9780e-66b3-41f4-bf09-8f73331dc2b8,1jGJNdpU+S,2016-03-21 11:00:47.218,2016-03-21 11:00:47.218
